Time,Average
2024-08-20 09:41:56+00:00,144
2024-08-20 09:46:58+00:00,144
2024-08-20 09:52:01+00:00,144
2024-08-20 09:57:03+00:00,144
2024-08-20 10:02:06+00:00,143
2024-08-20 10:07:09+00:00,143
2024-08-20 10:12:11+00:00,143
2024-08-20 10:17:14+00:00,143
2024-08-20 10:22:16+00:00,143
2024-08-20 10:27:19+00:00,144
2024-08-20 10:32:22+00:00,143
2024-08-20 10:37:24+00:00,143
2024-08-20 10:42:27+00:00,143
2024-08-20 10:47:29+00:00,143
2024-08-20 10:52:32+00:00,143
2024-08-20 10:57:35+00:00,143
2024-08-20 11:02:37+00:00,143
2024-08-20 11:07:40+00:00,143
2024-08-20 11:12:42+00:00,143
2024-08-20 11:17:45+00:00,143
2024-08-20 11:22:48+00:00,144
2024-08-20 11:27:50+00:00,143
2024-08-20 11:32:53+00:00,143
2024-08-20 11:37:55+00:00,143
2024-08-20 11:42:58+00:00,143
2024-08-20 11:48:01+00:00,143
2024-08-20 11:53:03+00:00,143
2024-08-20 11:58:06+00:00,143
2024-08-20 12:03:08+00:00,143
2024-08-20 12:08:11+00:00,143
2024-08-20 12:13:14+00:00,143
2024-08-20 12:18:16+00:00,143
2024-08-20 12:23:19+00:00,143
2024-08-20 12:28:21+00:00,143
2024-08-20 12:33:24+00:00,143
2024-08-20 12:38:27+00:00,143
2024-08-20 12:43:29+00:00,143
2024-08-20 12:48:32+00:00,143
2024-08-20 12:53:34+00:00,143
2024-08-20 12:58:37+00:00,143
2024-08-20 13:03:40+00:00,143
2024-08-20 13:08:42+00:00,143
2024-08-20 13:13:45+00:00,143
2024-08-20 13:18:47+00:00,143
2024-08-20 13:23:50+00:00,143
2024-08-20 13:28:53+00:00,143
2024-08-20 13:33:55+00:00,143
2024-08-20 13:38:58+00:00,143
2024-08-20 13:44:00+00:00,143
2024-08-20 13:49:03+00:00,143
2024-08-20 13:54:05+00:00,143
2024-08-20 13:59:08+00:00,143
2024-08-20 14:04:11+00:00,143
2024-08-20 14:09:13+00:00,143
2024-08-20 14:14:16+00:00,143
2024-08-20 14:19:18+00:00,143
2024-08-20 14:24:21+00:00,143
2024-08-20 14:29:23+00:00,143
2024-08-20 14:34:26+00:00,143
2024-08-20 14:39:29+00:00,143
