Time,Average
2024-08-13 13:43:10+00:00,209
2024-08-13 13:43:20+00:00,215
2024-08-13 13:43:30+00:00,189
2024-08-13 13:43:40+00:00,173
2024-08-13 13:43:51+00:00,185
2024-08-13 13:44:01+00:00,184
2024-08-13 13:44:11+00:00,186
2024-08-13 13:44:21+00:00,186
2024-08-13 13:44:31+00:00,187
2024-08-13 13:44:41+00:00,183
2024-08-13 13:44:51+00:00,184
2024-08-13 13:45:01+00:00,183
2024-08-13 13:45:11+00:00,185
2024-08-13 13:45:21+00:00,186
2024-08-13 13:45:31+00:00,185
2024-08-13 13:45:41+00:00,187
2024-08-13 13:45:52+00:00,183
2024-08-13 13:46:02+00:00,184
2024-08-13 13:46:12+00:00,186
2024-08-13 13:46:22+00:00,185
2024-08-13 13:46:32+00:00,186
2024-08-13 13:46:42+00:00,185
2024-08-13 13:46:52+00:00,184
2024-08-13 13:47:02+00:00,187
2024-08-13 13:47:12+00:00,184
2024-08-13 13:47:22+00:00,185
2024-08-13 13:47:32+00:00,186
2024-08-13 13:47:43+00:00,187
2024-08-13 13:47:53+00:00,186
2024-08-13 13:48:03+00:00,185
2024-08-13 13:48:13+00:00,185
2024-08-13 13:48:23+00:00,185
2024-08-13 13:48:33+00:00,184
2024-08-13 13:48:43+00:00,184
2024-08-13 13:48:53+00:00,184
2024-08-13 13:49:03+00:00,189
2024-08-13 13:49:13+00:00,186
2024-08-13 13:49:23+00:00,183
2024-08-13 13:49:33+00:00,186
2024-08-13 13:49:44+00:00,185
2024-08-13 13:49:54+00:00,185
2024-08-13 13:50:04+00:00,187
2024-08-13 13:50:14+00:00,185
2024-08-13 13:50:24+00:00,185
2024-08-13 13:50:34+00:00,186
2024-08-13 13:50:44+00:00,197
2024-08-13 13:50:54+00:00,185
2024-08-13 13:51:04+00:00,185
2024-08-13 13:51:14+00:00,184
2024-08-13 13:51:24+00:00,186
2024-08-13 13:51:34+00:00,186
2024-08-13 13:51:45+00:00,185
2024-08-13 13:51:55+00:00,186
2024-08-13 13:52:05+00:00,186
2024-08-13 13:52:15+00:00,185
2024-08-13 13:52:25+00:00,184
2024-08-13 13:52:35+00:00,187
2024-08-13 13:52:45+00:00,185
2024-08-13 13:52:55+00:00,186
2024-08-13 13:53:05+00:00,176
