Time,Average
2024-08-13 14:30:15+00:00,256
2024-08-13 14:30:25+00:00,204
2024-08-13 14:30:35+00:00,190
2024-08-13 14:30:45+00:00,179
2024-08-13 14:30:55+00:00,196
2024-08-13 14:31:05+00:00,187
2024-08-13 14:31:15+00:00,186
2024-08-13 14:31:25+00:00,186
2024-08-13 14:31:35+00:00,186
2024-08-13 14:31:45+00:00,185
2024-08-13 14:31:56+00:00,187
2024-08-13 14:32:06+00:00,189
2024-08-13 14:32:16+00:00,188
2024-08-13 14:32:26+00:00,185
2024-08-13 14:32:36+00:00,186
2024-08-13 14:32:46+00:00,188
2024-08-13 14:32:56+00:00,184
2024-08-13 14:33:06+00:00,186
2024-08-13 14:33:16+00:00,187
2024-08-13 14:33:26+00:00,187
2024-08-13 14:33:36+00:00,188
2024-08-13 14:33:47+00:00,187
2024-08-13 14:33:57+00:00,187
2024-08-13 14:34:07+00:00,185
2024-08-13 14:34:17+00:00,185
2024-08-13 14:34:27+00:00,186
2024-08-13 14:34:37+00:00,187
2024-08-13 14:34:47+00:00,186
2024-08-13 14:34:57+00:00,185
2024-08-13 14:35:07+00:00,186
2024-08-13 14:35:17+00:00,187
2024-08-13 14:35:27+00:00,185
2024-08-13 14:35:37+00:00,188
2024-08-13 14:35:48+00:00,188
2024-08-13 14:35:58+00:00,185
2024-08-13 14:36:08+00:00,186
2024-08-13 14:36:18+00:00,186
2024-08-13 14:36:28+00:00,187
2024-08-13 14:36:38+00:00,190
2024-08-13 14:36:48+00:00,186
2024-08-13 14:36:58+00:00,187
2024-08-13 14:37:08+00:00,186
2024-08-13 14:37:18+00:00,186
2024-08-13 14:37:28+00:00,187
2024-08-13 14:37:39+00:00,188
2024-08-13 14:37:49+00:00,185
2024-08-13 14:37:59+00:00,187
2024-08-13 14:38:09+00:00,187
2024-08-13 14:38:19+00:00,186
2024-08-13 14:38:29+00:00,186
2024-08-13 14:38:39+00:00,187
2024-08-13 14:38:49+00:00,186
2024-08-13 14:38:59+00:00,187
2024-08-13 14:39:09+00:00,186
2024-08-13 14:39:19+00:00,186
2024-08-13 14:39:30+00:00,187
2024-08-13 14:39:40+00:00,185
2024-08-13 14:39:50+00:00,186
2024-08-13 14:40:00+00:00,186
2024-08-13 14:40:10+00:00,162
