Time,Average
2024-08-13 14:08:13+00:00,236
2024-08-13 14:08:23+00:00,210
2024-08-13 14:08:33+00:00,193
2024-08-13 14:08:43+00:00,177
2024-08-13 14:08:54+00:00,188
2024-08-13 14:09:04+00:00,192
2024-08-13 14:09:14+00:00,189
2024-08-13 14:09:24+00:00,190
2024-08-13 14:09:34+00:00,186
2024-08-13 14:09:44+00:00,187
2024-08-13 14:09:54+00:00,186
2024-08-13 14:10:04+00:00,185
2024-08-13 14:10:14+00:00,186
2024-08-13 14:10:24+00:00,185
2024-08-13 14:10:34+00:00,187
2024-08-13 14:10:44+00:00,187
2024-08-13 14:10:55+00:00,188
2024-08-13 14:11:05+00:00,186
2024-08-13 14:11:15+00:00,188
2024-08-13 14:11:25+00:00,187
2024-08-13 14:11:35+00:00,188
2024-08-13 14:11:45+00:00,187
2024-08-13 14:11:55+00:00,187
2024-08-13 14:12:05+00:00,188
2024-08-13 14:12:15+00:00,188
2024-08-13 14:12:25+00:00,187
2024-08-13 14:12:35+00:00,187
2024-08-13 14:12:46+00:00,187
2024-08-13 14:12:56+00:00,189
2024-08-13 14:13:06+00:00,186
2024-08-13 14:13:16+00:00,186
2024-08-13 14:13:26+00:00,187
2024-08-13 14:13:36+00:00,187
2024-08-13 14:13:46+00:00,187
2024-08-13 14:13:56+00:00,188
2024-08-13 14:14:06+00:00,187
2024-08-13 14:14:16+00:00,187
2024-08-13 14:14:26+00:00,187
2024-08-13 14:14:36+00:00,188
2024-08-13 14:14:47+00:00,187
2024-08-13 14:14:57+00:00,187
2024-08-13 14:15:07+00:00,188
2024-08-13 14:15:17+00:00,188
2024-08-13 14:15:27+00:00,187
2024-08-13 14:15:37+00:00,188
2024-08-13 14:15:47+00:00,187
2024-08-13 14:15:57+00:00,186
2024-08-13 14:16:07+00:00,184
2024-08-13 14:16:17+00:00,188
2024-08-13 14:16:27+00:00,188
2024-08-13 14:16:38+00:00,186
2024-08-13 14:16:48+00:00,187
2024-08-13 14:16:58+00:00,187
2024-08-13 14:17:08+00:00,186
2024-08-13 14:17:18+00:00,188
2024-08-13 14:17:28+00:00,188
2024-08-13 14:17:38+00:00,188
2024-08-13 14:17:48+00:00,188
2024-08-13 14:17:58+00:00,188
2024-08-13 14:18:08+00:00,168
