Time,Average
2024-08-13 11:45:29+00:00,143
2024-08-13 11:45:39+00:00,143
2024-08-13 11:45:49+00:00,143
2024-08-13 11:45:59+00:00,143
2024-08-13 11:46:09+00:00,147
2024-08-13 11:46:19+00:00,191
2024-08-13 11:46:29+00:00,186
2024-08-13 11:46:39+00:00,169
2024-08-13 11:46:50+00:00,181
2024-08-13 11:47:00+00:00,184
2024-08-13 11:47:10+00:00,184
2024-08-13 11:47:20+00:00,184
2024-08-13 11:47:30+00:00,183
2024-08-13 11:47:40+00:00,185
2024-08-13 11:47:50+00:00,185
2024-08-13 11:48:00+00:00,185
2024-08-13 11:48:10+00:00,183
2024-08-13 11:48:20+00:00,184
2024-08-13 11:48:30+00:00,183
2024-08-13 11:48:40+00:00,183
2024-08-13 11:48:51+00:00,184
2024-08-13 11:49:01+00:00,185
2024-08-13 11:49:11+00:00,185
2024-08-13 11:49:21+00:00,183
2024-08-13 11:49:31+00:00,183
2024-08-13 11:49:41+00:00,184
2024-08-13 11:49:51+00:00,185
2024-08-13 11:50:01+00:00,186
2024-08-13 11:50:11+00:00,182
2024-08-13 11:50:21+00:00,183
2024-08-13 11:50:31+00:00,185
2024-08-13 11:50:41+00:00,186
2024-08-13 11:50:52+00:00,185
2024-08-13 11:51:02+00:00,185
2024-08-13 11:51:12+00:00,181
2024-08-13 11:51:22+00:00,183
2024-08-13 11:51:32+00:00,185
2024-08-13 11:51:42+00:00,184
2024-08-13 11:51:52+00:00,184
2024-08-13 11:52:02+00:00,186
2024-08-13 11:52:12+00:00,185
2024-08-13 11:52:22+00:00,183
2024-08-13 11:52:32+00:00,184
2024-08-13 11:52:43+00:00,183
2024-08-13 11:52:53+00:00,183
2024-08-13 11:53:03+00:00,186
2024-08-13 11:53:13+00:00,183
2024-08-13 11:53:23+00:00,185
2024-08-13 11:53:33+00:00,185
2024-08-13 11:53:43+00:00,186
2024-08-13 11:53:53+00:00,186
2024-08-13 11:54:03+00:00,185
2024-08-13 11:54:13+00:00,186
2024-08-13 11:54:23+00:00,181
2024-08-13 11:54:34+00:00,185
2024-08-13 11:54:44+00:00,185
2024-08-13 11:54:54+00:00,187
2024-08-13 11:55:04+00:00,182
2024-08-13 11:55:14+00:00,186
2024-08-13 11:55:24+00:00,186
2024-08-13 11:55:34+00:00,187
2024-08-13 11:55:44+00:00,186
2024-08-13 11:55:54+00:00,186
2024-08-13 11:56:04+00:00,178
2024-08-13 11:56:14+00:00,148
2024-08-13 11:56:24+00:00,148
2024-08-13 11:56:35+00:00,149
2024-08-13 11:56:45+00:00,147
2024-08-13 11:56:55+00:00,147
2024-08-13 11:57:05+00:00,148
2024-08-13 11:57:15+00:00,148
2024-08-13 11:57:25+00:00,148
