Time,Average
2024-07-26 13:05:13+00:00,153
2024-07-26 13:05:24+00:00,146
2024-07-26 13:05:34+00:00,145
2024-07-26 13:05:44+00:00,212
2024-07-26 13:05:54+00:00,295
2024-07-26 13:06:04+00:00,329
2024-07-26 13:06:14+00:00,377
2024-07-26 13:06:24+00:00,331
2024-07-26 13:06:34+00:00,285
2024-07-26 13:06:44+00:00,346
2024-07-26 13:06:54+00:00,463
2024-07-26 13:07:04+00:00,505
2024-07-26 13:07:14+00:00,379
2024-07-26 13:07:25+00:00,260
2024-07-26 13:07:35+00:00,214
2024-07-26 13:07:45+00:00,150
