Time,Average
2024-08-13 15:40:31+00:00,144
2024-08-13 15:40:41+00:00,144
2024-08-13 15:40:51+00:00,144
2024-08-13 15:41:01+00:00,144
2024-08-13 15:41:11+00:00,220
2024-08-13 15:41:21+00:00,220
2024-08-13 15:41:31+00:00,197
2024-08-13 15:41:42+00:00,180
2024-08-13 15:41:52+00:00,190
2024-08-13 15:42:02+00:00,191
2024-08-13 15:42:12+00:00,185
2024-08-13 15:42:22+00:00,183
2024-08-13 15:42:32+00:00,185
2024-08-13 15:42:42+00:00,185
2024-08-13 15:42:52+00:00,187
2024-08-13 15:43:02+00:00,186
2024-08-13 15:43:12+00:00,186
2024-08-13 15:43:22+00:00,184
2024-08-13 15:43:33+00:00,185
2024-08-13 15:43:43+00:00,185
2024-08-13 15:43:53+00:00,185
2024-08-13 15:44:03+00:00,188
2024-08-13 15:44:13+00:00,187
2024-08-13 15:44:23+00:00,187
2024-08-13 15:44:33+00:00,191
2024-08-13 15:44:43+00:00,187
2024-08-13 15:44:53+00:00,187
2024-08-13 15:45:03+00:00,186
2024-08-13 15:45:13+00:00,187
2024-08-13 15:45:23+00:00,187
2024-08-13 15:45:34+00:00,187
2024-08-13 15:45:44+00:00,187
2024-08-13 15:45:54+00:00,185
2024-08-13 15:46:04+00:00,187
2024-08-13 15:46:14+00:00,187
2024-08-13 15:46:24+00:00,187
2024-08-13 15:46:34+00:00,186
2024-08-13 15:46:44+00:00,186
2024-08-13 15:46:54+00:00,186
2024-08-13 15:47:04+00:00,185
2024-08-13 15:47:14+00:00,187
2024-08-13 15:47:25+00:00,187
2024-08-13 15:47:35+00:00,187
2024-08-13 15:47:45+00:00,187
2024-08-13 15:47:55+00:00,185
2024-08-13 15:48:05+00:00,187
2024-08-13 15:48:15+00:00,186
2024-08-13 15:48:25+00:00,185
2024-08-13 15:48:35+00:00,186
2024-08-13 15:48:45+00:00,186
2024-08-13 15:48:55+00:00,186
2024-08-13 15:49:05+00:00,188
2024-08-13 15:49:16+00:00,185
2024-08-13 15:49:26+00:00,188
2024-08-13 15:49:36+00:00,188
2024-08-13 15:49:46+00:00,189
2024-08-13 15:49:56+00:00,185
2024-08-13 15:50:06+00:00,185
2024-08-13 15:50:16+00:00,186
2024-08-13 15:50:26+00:00,186
2024-08-13 15:50:36+00:00,187
2024-08-13 15:50:46+00:00,184
2024-08-13 15:50:56+00:00,188
2024-08-13 15:51:07+00:00,174
2024-08-13 15:51:17+00:00,149
2024-08-13 15:51:27+00:00,148
2024-08-13 15:51:37+00:00,149
