Time,Average
2024-08-13 14:59:30+00:00,144
2024-08-13 14:59:40+00:00,143
2024-08-13 14:59:50+00:00,144
2024-08-13 15:00:00+00:00,144
2024-08-13 15:00:10+00:00,168
2024-08-13 15:00:20+00:00,239
2024-08-13 15:00:30+00:00,192
2024-08-13 15:00:40+00:00,167
2024-08-13 15:00:51+00:00,187
2024-08-13 15:01:01+00:00,185
2024-08-13 15:01:11+00:00,185
2024-08-13 15:01:21+00:00,185
2024-08-13 15:01:31+00:00,184
2024-08-13 15:01:41+00:00,182
2024-08-13 15:01:51+00:00,184
2024-08-13 15:02:01+00:00,183
2024-08-13 15:02:11+00:00,183
2024-08-13 15:02:21+00:00,183
2024-08-13 15:02:31+00:00,183
2024-08-13 15:02:41+00:00,183
2024-08-13 15:02:52+00:00,181
2024-08-13 15:03:02+00:00,183
2024-08-13 15:03:12+00:00,183
2024-08-13 15:03:22+00:00,183
2024-08-13 15:03:32+00:00,184
2024-08-13 15:03:42+00:00,182
2024-08-13 15:03:52+00:00,187
2024-08-13 15:04:02+00:00,186
2024-08-13 15:04:12+00:00,183
2024-08-13 15:04:22+00:00,185
2024-08-13 15:04:32+00:00,183
2024-08-13 15:04:43+00:00,184
2024-08-13 15:04:53+00:00,184
2024-08-13 15:05:03+00:00,180
2024-08-13 15:05:13+00:00,185
2024-08-13 15:05:23+00:00,184
2024-08-13 15:05:33+00:00,185
2024-08-13 15:05:43+00:00,184
2024-08-13 15:05:53+00:00,184
2024-08-13 15:06:03+00:00,183
2024-08-13 15:06:13+00:00,186
2024-08-13 15:06:23+00:00,184
2024-08-13 15:06:33+00:00,184
2024-08-13 15:06:44+00:00,184
2024-08-13 15:06:54+00:00,184
2024-08-13 15:07:04+00:00,183
2024-08-13 15:07:14+00:00,185
2024-08-13 15:07:24+00:00,184
2024-08-13 15:07:34+00:00,184
2024-08-13 15:07:44+00:00,184
2024-08-13 15:07:54+00:00,183
2024-08-13 15:08:04+00:00,185
2024-08-13 15:08:14+00:00,182
2024-08-13 15:08:24+00:00,186
2024-08-13 15:08:35+00:00,184
2024-08-13 15:08:45+00:00,185
2024-08-13 15:08:55+00:00,184
2024-08-13 15:09:05+00:00,185
2024-08-13 15:09:15+00:00,185
2024-08-13 15:09:25+00:00,184
2024-08-13 15:09:35+00:00,184
2024-08-13 15:09:45+00:00,184
2024-08-13 15:09:55+00:00,185
2024-08-13 15:10:05+00:00,176
2024-08-13 15:10:15+00:00,150
2024-08-13 15:10:25+00:00,149
2024-08-13 15:10:36+00:00,148
2024-08-13 15:10:46+00:00,146
2024-08-13 15:10:56+00:00,147
