Time,Average
2024-08-13 15:19:30+00:00,144
2024-08-13 15:19:40+00:00,145
2024-08-13 15:19:50+00:00,145
2024-08-13 15:20:00+00:00,144
2024-08-13 15:20:10+00:00,204
2024-08-13 15:20:21+00:00,233
2024-08-13 15:20:31+00:00,194
2024-08-13 15:20:41+00:00,175
2024-08-13 15:20:51+00:00,186
2024-08-13 15:21:01+00:00,187
2024-08-13 15:21:11+00:00,187
2024-08-13 15:21:21+00:00,184
2024-08-13 15:21:31+00:00,188
2024-08-13 15:21:41+00:00,185
2024-08-13 15:21:51+00:00,185
2024-08-13 15:22:01+00:00,185
2024-08-13 15:22:11+00:00,185
2024-08-13 15:22:22+00:00,184
2024-08-13 15:22:32+00:00,186
2024-08-13 15:22:42+00:00,185
2024-08-13 15:22:52+00:00,186
2024-08-13 15:23:02+00:00,185
2024-08-13 15:23:12+00:00,187
2024-08-13 15:23:22+00:00,187
2024-08-13 15:23:32+00:00,185
2024-08-13 15:23:42+00:00,184
2024-08-13 15:23:52+00:00,185
2024-08-13 15:24:03+00:00,187
2024-08-13 15:24:13+00:00,187
2024-08-13 15:24:23+00:00,188
2024-08-13 15:24:33+00:00,185
2024-08-13 15:24:43+00:00,186
2024-08-13 15:24:53+00:00,186
2024-08-13 15:25:03+00:00,188
2024-08-13 15:25:13+00:00,186
2024-08-13 15:25:23+00:00,188
2024-08-13 15:25:33+00:00,187
2024-08-13 15:25:43+00:00,187
2024-08-13 15:25:53+00:00,187
2024-08-13 15:26:04+00:00,186
2024-08-13 15:26:14+00:00,187
2024-08-13 15:26:24+00:00,187
2024-08-13 15:26:34+00:00,185
2024-08-13 15:26:44+00:00,187
2024-08-13 15:26:54+00:00,187
2024-08-13 15:27:04+00:00,187
2024-08-13 15:27:14+00:00,187
2024-08-13 15:27:24+00:00,187
2024-08-13 15:27:34+00:00,187
2024-08-13 15:27:44+00:00,187
2024-08-13 15:27:55+00:00,183
2024-08-13 15:28:05+00:00,188
2024-08-13 15:28:15+00:00,188
2024-08-13 15:28:25+00:00,187
2024-08-13 15:28:35+00:00,186
2024-08-13 15:28:45+00:00,187
2024-08-13 15:28:55+00:00,187
2024-08-13 15:29:05+00:00,186
2024-08-13 15:29:15+00:00,186
2024-08-13 15:29:25+00:00,187
2024-08-13 15:29:35+00:00,187
2024-08-13 15:29:45+00:00,187
2024-08-13 15:29:56+00:00,187
2024-08-13 15:30:06+00:00,179
2024-08-13 15:30:16+00:00,149
2024-08-13 15:30:26+00:00,149
2024-08-13 15:30:36+00:00,149
2024-08-13 15:30:46+00:00,148
2024-08-13 15:30:56+00:00,148
2024-08-13 15:31:06+00:00,149
