Time,Average
2024-08-13 12:49:32+00:00,143
2024-08-13 12:49:42+00:00,143
2024-08-13 12:49:52+00:00,143
2024-08-13 12:50:02+00:00,143
2024-08-13 12:50:12+00:00,169
2024-08-13 12:50:23+00:00,189
2024-08-13 12:50:33+00:00,187
2024-08-13 12:50:43+00:00,165
2024-08-13 12:50:53+00:00,187
2024-08-13 12:51:03+00:00,189
2024-08-13 12:51:13+00:00,187
2024-08-13 12:51:23+00:00,185
2024-08-13 12:51:33+00:00,187
2024-08-13 12:51:43+00:00,187
2024-08-13 12:51:53+00:00,189
2024-08-13 12:52:03+00:00,188
2024-08-13 12:52:14+00:00,188
2024-08-13 12:52:24+00:00,187
2024-08-13 12:52:34+00:00,188
2024-08-13 12:52:44+00:00,189
2024-08-13 12:52:54+00:00,189
2024-08-13 12:53:04+00:00,189
2024-08-13 12:53:14+00:00,189
2024-08-13 12:53:24+00:00,192
2024-08-13 12:53:34+00:00,188
2024-08-13 12:53:44+00:00,188
2024-08-13 12:53:54+00:00,184
2024-08-13 12:54:05+00:00,188
2024-08-13 12:54:15+00:00,192
2024-08-13 12:54:25+00:00,185
2024-08-13 12:54:35+00:00,190
2024-08-13 12:54:45+00:00,189
2024-08-13 12:54:55+00:00,185
2024-08-13 12:55:05+00:00,187
2024-08-13 12:55:15+00:00,188
2024-08-13 12:55:25+00:00,187
2024-08-13 12:55:35+00:00,188
2024-08-13 12:55:45+00:00,186
2024-08-13 12:55:55+00:00,188
2024-08-13 12:56:06+00:00,189
2024-08-13 12:56:16+00:00,187
2024-08-13 12:56:26+00:00,186
2024-08-13 12:56:36+00:00,187
2024-08-13 12:56:46+00:00,183
2024-08-13 12:56:56+00:00,187
2024-08-13 12:57:06+00:00,188
2024-08-13 12:57:16+00:00,184
2024-08-13 12:57:26+00:00,188
2024-08-13 12:57:36+00:00,189
2024-08-13 12:57:46+00:00,186
2024-08-13 12:57:56+00:00,188
2024-08-13 12:58:07+00:00,186
2024-08-13 12:58:17+00:00,188
2024-08-13 12:58:27+00:00,189
2024-08-13 12:58:37+00:00,188
2024-08-13 12:58:47+00:00,191
2024-08-13 12:58:57+00:00,188
2024-08-13 12:59:07+00:00,188
2024-08-13 12:59:17+00:00,188
2024-08-13 12:59:27+00:00,188
2024-08-13 12:59:37+00:00,187
2024-08-13 12:59:47+00:00,189
2024-08-13 12:59:58+00:00,189
2024-08-13 13:00:08+00:00,174
2024-08-13 13:00:18+00:00,148
2024-08-13 13:00:28+00:00,148
2024-08-13 13:00:38+00:00,148
2024-08-13 13:00:48+00:00,148
2024-08-13 13:00:58+00:00,148
2024-08-13 13:01:08+00:00,148
2024-08-13 13:01:18+00:00,148
