Time,Average
2024-08-01 15:23:48+00:00,143
2024-08-01 15:23:58+00:00,144
2024-08-01 15:24:08+00:00,143
2024-08-01 15:24:18+00:00,236
2024-08-01 15:24:29+00:00,292
2024-08-01 15:24:39+00:00,382
2024-08-01 15:24:49+00:00,363
2024-08-01 15:24:59+00:00,341
2024-08-01 15:25:09+00:00,327
2024-08-01 15:25:19+00:00,265
2024-08-01 15:25:29+00:00,278
2024-08-01 15:25:39+00:00,392
2024-08-01 15:25:49+00:00,440
2024-08-01 15:25:59+00:00,497
2024-08-01 15:26:09+00:00,477
2024-08-01 15:26:19+00:00,391
2024-08-01 15:26:30+00:00,257
2024-08-01 15:26:40+00:00,273
2024-08-01 15:26:50+00:00,219
2024-08-01 15:27:00+00:00,151
2024-08-01 15:27:10+00:00,150
2024-08-01 15:27:20+00:00,149
